Depth,Jm+Bp,Ti+Sl,Tc,Hs,Mf,Pl,Pi,Am,Ai,Ea,Tq,Mp,Calc,Rs,Ab,As,Ts,Ad,TO,PH,TG,Tt,Ph
1,319,47,329,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,202,25,174,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,228,54,134,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,201,14,51,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,208,26,63,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,183,28,117,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,258,45,299,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,270,28,160,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,246,23,111,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,387,129,222,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,274,8,108,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,221,30,62,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,129,39,58,1,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,329,159,137,20,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,128,222,94,35,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,172,95,109,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,154,19,91,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,141,12,69,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,311,25,142,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,105,33,86,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,113,134,137,107,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,175,79,111,217,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,213,45,61,156,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,159,27,85,52,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,105,30,41,93,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,151,84,108,178,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,121,50,115,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,189,12,65,114,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,218,3,151,13,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,404,3,19,21,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,383,9,27,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,441,18,63,32,49,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,406,58,84,214,79,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,294,54,163,230,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,312,6,63,263,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,408,4,53,105,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,525,32,71,223,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,793,0,58,64,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,621,7,136,93,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,543,31,228,118,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,453,65,374,112,107,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,696,130,366,203,158,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,472,62,82,201,98,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,408,44,61,296,85,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,366,44,90,130,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,504,18,46,105,79,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,118,4,74,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,184,4,69,158,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,141,0,34,127,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,236,2,30,53,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,536,36,115,146,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,547,241,90,318,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,310,127,57,100,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,249,54,97,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,212,91,47,133,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,218,96,44,28,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,474,12,33,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,376,0,65,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,556,4,43,74,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,392,8,57,17,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,220,39,92,18,104,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,339,1,79,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,197,1,14,5,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,195,0,16,27,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,21,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,62,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,97,1,79,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,174,1,10,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,113,0,28,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,201,4,68,4,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,122,0,67,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
