Sample,Site Name,SWLI
BRMT0-5,Big River,262.2641509
BRMT0-6,Big River,252.8301887
BRMT0-7,Big River,243.3962264
BRMT0-8,Big River,233.9622642
BRMT0-9,Big River,224.5283019
BRMT0-10,Big River,215.0943396
BRMT0-11,Big River,205.6603774
BRMT0-12,Big River,196.2264151
BRMT0-13,Big River,186.7924528
BRMT0-14,Big River,177.3584906
BRMT0-15,Big River,167.9245283
BRMT0-16,Big River,158.490566
BRMT0-17,Big River,149.0566038
BRMT0-18,Big River,139.6226415
BRMT0-19,Big River,130.1886792
BRMT0-20,Big River,120.754717
BRMT0-21,Big River,111.3207547
BRMT0-22,Big River,101.8867925
BRMT0-23,Big River,92.45283019
BRMT0-24,Big River,83.01886792
BRMT0-25,Big River,73.58490566
BRMT1-9,Big River,260.3773585
BRMT1-10,Big River,250.9433962
BRMT1-11,Big River,241.509434
BRMT1-12,Big River,232.0754717
BRMT1-13,Big River,222.6415094
BRMT1-14,Big River,213.2075472
BRMT1-15,Big River,203.7735849
BRMT1-16,Big River,194.3396226
BRMT1-17,Big River,184.9056604
BRMT1-18,Big River,175.4716981
BRMT1-19,Big River,166.0377358
BRMT1-20,Big River,156.6037736
BRMT1-21,Big River,147.1698113
BRMT1-22,Big River,137.7358491
BRMT1-23,Big River,128.3018868
BRMT1-24,Big River,118.8679245
BRMT1-25,Big River,109.4339623
BRMT2-7,Big River,266.0377358
BRMT2-8,Big River,256.6037736
BRMT2-9,Big River,247.1698113
BRMT2-10,Big River,237.7358491
BRMT2-11,Big River,228.3018868
BRMT2-12,Big River,218.8679245
BRMT2-13,Big River,209.4339623
BRMT2-14,Big River,200
BRMT2-15,Big River,190.5660377
BRMT2-16,Big River,181.1320755
BRMT2-17,Big River,171.6981132
BRMT2-18,Big River,162.2641509
BRMT2-19,Big River,152.8301887
BRMT2-20,Big River,143.3962264
HBMT0-1,Hynes Brook,256.6037736
HBMT0-2,Hynes Brook,249.0566038
HBMT0-3,Hynes Brook,241.509434
HBMT0-4,Hynes Brook,233.9622642
HBMT0-5,Hynes Brook,226.4150943
HBMT0-6,Hynes Brook,218.8679245
HBMT0-7,Hynes Brook,211.3207547
HBMT0-8,Hynes Brook,203.7735849
HBMT0-9,Hynes Brook,196.2264151
HBMT0-10,Hynes Brook,188.6792453
HBMT0-11,Hynes Brook,181.1320755
HBMT0-12,Hynes Brook,173.5849057
HBMT0-13,Hynes Brook,166.0377358
HBMT0-14,Hynes Brook,158.490566
HBMT0-15,Hynes Brook,150.9433962
HBMT0-16,Hynes Brook,143.3962264
HBMT0-17,Hynes Brook,135.8490566
HBMT0-18,Hynes Brook,128.3018868
HBMT0-19,Hynes Brook,120.754717
HBMT0-20,Hynes Brook,113.2075472
HBMT0-21,Hynes Brook,105.6603774
HBMT0-22,Hynes Brook,98.11320755
HBMT0-23,Hynes Brook,90.56603774
HBMT0-24,Hynes Brook,83.01886792
HBMT0-25,Hynes Brook,75.47169811
HBMT1-9,Hynes Brook,269.8113208
HBMT1-10,Hynes Brook,260.3773585
HBMT1-11,Hynes Brook,250.9433962
HBMT1-12,Hynes Brook,241.509434
HBMT1-13,Hynes Brook,232.0754717
HBMT1-14,Hynes Brook,222.6415094
HBMT1-15,Hynes Brook,213.2075472
HBMT1-16,Hynes Brook,203.7735849
HBMT1-17,Hynes Brook,194.3396226
HBMT1-18,Hynes Brook,184.9056604
HBMT1-19,Hynes Brook,175.4716981
HBMT1-20,Hynes Brook,166.0377358
HBMT1-21,Hynes Brook,156.6037736
HBMT1-22,Hynes Brook,147.1698113
HBMT1-23,Hynes Brook,137.7358491
HBMT1-24,Hynes Brook,128.3018868
HBMT2-7,Hynes Brook,264.1509434
HBMT2-8,Hynes Brook,254.7169811
HBMT2-9,Hynes Brook,245.2830189
HBMT2-10,Hynes Brook,235.8490566
HBMT2-11,Hynes Brook,226.4150943
HBMT2-12,Hynes Brook,216.9811321
HBMT2-13,Hynes Brook,207.5471698
HBMT2-14,Hynes Brook,198.1132075
HBMT2-15,Hynes Brook,188.6792453
HBMT2-16,Hynes Brook,179.245283
HBMT2-17,Hynes Brook,169.8113208
HBMT2-18,Hynes Brook,160.3773585
HBMT2-19,Hynes Brook,150.9433962
HBMT2-20,Hynes Brook,141.509434
HBMT2-21,Hynes Brook,132.0754717
HBMT2-22,Hynes Brook,122.6415094
PLA/TRA/11,Placentia,252.7826087
PLA/TRA/12,Placentia,239.9565217
PLA/TRA/13,Placentia,237.326087
PLA/TRA/14,Placentia,224.3043478
PLA/TRA/15,Placentia,220.4347826
PLA/TRA/16,Placentia,213.9565217
PLA/TRA/17,Placentia,213.7173913
PLA/TRA/18,Placentia,213.4565217
PLA/TRA/19,Placentia,210.7826087
PLA/TRA/20,Placentia,199.1956522
PLA/TRA/21,Placentia,189.1086957
PLA/TRA/22,Placentia,181.3913043
PLA/TRA/23,Placentia,164.5869565
PLA/TRA/24,Placentia,157.0869565
PLA/TRA/25,Placentia,147.6521739
PLA/TRB/11,Placentia,262.7608696
PLA/TRB/12,Placentia,250
PLA/TRB/13,Placentia,236.3913043
PLA/TRB/14,Placentia,221.8478261
PLA/TRB/15,Placentia,210.7826087
PLA/TRC/6,Placentia,248.6956522
PLA/TRC/7,Placentia,220.2826087
PLA/TRC/8,Placentia,194.0217391
PLA/TRC/9,Placentia,174.5869565
PLA/TRC/10,Placentia,148.8695652
